STATION,STATION_NAME,DATE,MNTM
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19130701,216
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19130801,203
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19130901,151
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19131001,120
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19131101,60
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19131201,12
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19140101,-37
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19140201,-62
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19140301,7
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19140401,57
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19140501,145
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19140601,174
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19140701,183
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19140801,194
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19140901,167
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19141001,123
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19141101,40
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19141201,-29
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19150101,-17
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19150201,-16
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19150301,-6
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19150401,91
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19150501,125
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19150601,170
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19150701,202
